# t_fs photon_number total_excited_population excited_per_molecule total_excitation Z ReP ImP
4.200000000000000178e+00 6.529292358182910982e-01 3.470707641817091793e-01 6.941415283634183586e-02 1.000000000000000222e+00 7.416166871134667327e-01 6.459582822163328908e-02 0.000000000000000000e+00
4.250000000000000000e+00 6.459484295807478293e-01 3.540515704192526147e-01 7.081031408385052295e-02 1.000000000000000444e+00 7.368151459776708379e-01 6.579621350558226278e-02 0.000000000000000000e+00
4.299999999999999822e+00 6.389421785073641225e-01 3.610578214926363216e-01 7.221156429852726433e-02 1.000000000000000444e+00 7.320117828455307007e-01 6.699705428861731094e-02 0.000000000000000000e+00
4.350000000000000533e+00 6.319120995687319553e-01 3.680879004312684333e-01 7.361758008625368666e-02 1.000000000000000444e+00 7.272078719959143012e-01 6.819803200102141083e-02 0.000000000000000000e+00
4.400000000000000355e+00 6.248598089259480570e-01 3.751401910740523316e-01 7.502803821481046631e-02 1.000000000000000444e+00 7.224046731871416327e-01 6.939883170321456407e-02 0.000000000000000000e+00
4.450000000000000178e+00 6.177869209667311567e-01 3.822130790332692318e-01 7.644261580665384637e-02 1.000000000000000444e+00 7.176034308129283223e-01 7.059914229676790554e-02 0.000000000000000000e+00
4.500000000000000000e+00 6.106950482924562440e-01 3.893049517075442001e-01 7.786099034150884002e-02 1.000000000000000444e+00 7.128053738903444847e-01 7.179865652741383719e-02 0.000000000000000000e+00
4.549999999999999822e+00 6.035858014510795400e-01 3.964141985489208486e-01 7.928283970978416972e-02 1.000000000000000444e+00 7.080117158290958335e-01 7.299707104272602776e-02 0.000000000000000000e+00
4.600000000000000533e+00 5.964607887483233117e-01 4.035392112516769658e-01 8.070784225033539316e-02 1.000000000000000222e+00 7.032236541707821420e-01 7.419408645730442287e-02 0.000000000000000000e+00
4.650000000000000355e+00 5.893216155680955914e-01 4.106783844319047971e-01 8.213567688638095943e-02 1.000000000000000444e+00 6.984423700993238615e-01 7.538940747516900687e-02 0.000000000000000000e+00
4.700000000000000178e+00 5.821698834519564159e-01 4.178301165480438617e-01 8.356602330960877234e-02 1.000000000000000222e+00 6.936690277526164072e-01 7.658274306184587044e-02 0.000000000000000000e+00
4.750000000000000000e+00 5.750071900885703746e-01 4.249928099114300140e-01 8.499856198228600279e-02 1.000000000000000444e+00 6.889047742142666575e-01 7.777380644643329399e-02 0.000000000000000000e+00
4.800000000000000711e+00 5.678351290979659627e-01 4.321648709020342594e-01 8.643297418040685187e-02 1.000000000000000222e+00 6.841507393737935594e-01 7.896231515655158240e-02 0.000000000000000000e+00
